name,invention,url_name,patent,induction_year,birth_date,death_date
Elisha Graves Otis,Elevator Brake,elisha-graves-otis,"['31,128']",1988,"Aug. 3, 1811","April 8, 1861"
Nicolaus August Otto,Gas-Motor Engine,nicolaus-august-otto,"['365,701']",1981,"June 10, 1832","Jan. 26, 1891"
Stanford R. Ovshinsky,Nickel-Metal Hydride Battery,stanford-r-ovshinsky,"['4,623,597']",2015,"Nov. 24, 1922","Oct. 17, 2012"
Michael J. Owens,Glass-Shaping Machine,michael-j-owens,"['766,768']",2007,"Jan. 1, 1859","Dec. 27, 1923"
Charles G. Page,High-Voltage Induction Coil,charles-g-page,"['76,654']",2006,"Jan. 25, 1812","May 5, 1868"
William Painter,Bottle Cap,william-painter,"['468,226']",2006,"Nov. 20, 1838",15-Jul-2006
David Pall,Leukocyte Reduction Filter,david-pall,"['4,925,572']",2008,2-Apr-2014,"Sept. 21, 2004"
Julio C. Palmaz,Intravascular Stent,julio-c-palmaz,"['4,733,665']",2006,"Dec. 13, 1945",
Louis W. Parker,Television Receiver,louis-w-parker,"['2,448,908']",1988,"Jan. 1, 1906",21-Jun-1993
Bradford Parkinson,Global Positioning System,bradford-parkinson,"['5,572,218']",2004,"Feb. 16, 1935",
James A. Parsons Jr.,Durimet 20 (Alloy 20) Stainless Steel Alloy,james-parsons-jr,"['2,185,987']",2023,30-May-2000,4-Mar-1989
John T. Parsons,Numerical Control,john-t-parsons,"['2,820,187']",1993,"Oct. 11, 1913",18-Apr-2007
Louis Pasteur,Pasteurization,louis-pasteur,"['135,245']",1978,"Dec. 27, 1822","Sept. 28, 1895"
C. Kumar N. Patel,Carbon Dioxide Laser,c-kumar-n-patel,"['3,596,202']",2012,2-Jul-1938,
Les Paul,Solid-Body Electric Guitar,les-paul,"['3,018,680']",2005,9-Jun-2015,"Aug. 12, 2009"
Arogyaswami Paulraj,MIMO Wireless Technology,arogyaswami-paulraj,"['5,345,599']",2018,14-Apr-1944,
Gerald L. Pearson,Silicon Solar Cell,gerald-l-pearson,"['2,780,765']",2008,31-Mar-2005,"Oct. 25, 1987"
Lester A. Pelton,Water Wheel,lester-pelton,"['233,692']",2006,"Sept. 5, 1829",14-Mar-2008
Mary Engle Pennington,Food Preservation and Storage,mary-engle-pennington,"['1,996,171']",2018,"Oct. 8, 1872","Dec. 27, 1952"
Radia Perlman,Robust Network Routing and Bridging,radia-perlman,"['5,086,428', '7,339,900']",2016,"Dec. 18, 1951",
Henry Phillips,Phillips Screw,henry-phillips,"['2,046,343']",2011,"June 4, 1889",13-Apr-1958
Thomas R. Pickering,Improved Velocipede,thomas-r-pickering,"['88,507']",2007,"Jan. 1, 1831","Feb. 21, 1895"
John Pierce,Communications Satellite,john-pierce,"['2,719,188']",2003,27-Mar-2010,2-Apr-2002
Gregory Pincus,Oral Contraceptive,gregory-pincus,"['2,666,015']",2006,9-Apr-2003,"Aug. 22, 1967"
Charles J. Plank,Zeolite Catalyst for Catalytic Cracking,charles-j-plank,"['3,140,249']",1979,"Nov. 8, 1915","Oct. 23, 1989"
Roy J. Plunkett,Teflon,roy-j-plunkett,"['2,230,654']",1985,26-Jun-2010,12-May-1994
Mary Florence Potts,Cold-Handle Sad Iron,mary-florence-potts,"['103,501', '113,448']",2024,"Nov. 1, 1850",24-Jun-2022
Valdemar Poulsen,Magnetic Wire Recorder,valdemar-poulsen,"['661,619']",2011,"Nov. 23, 1869",23-Jul-1942
George M. Pullman,Pullman Car,george-m-pullman,"['42,182']",2006,"March 3, 1831","Oct. 19, 1897"
Michael Pupin,Loading Coil for Long Distance Telephony,michael-pupin,"['761,995']",2011,"Oct. 4, 1858",12-Mar-1935
Jacqueline  Quinn,EZVI (Emulsified Zero-Valent Iron),jacqueline-quinn,"['6,664,298']",2018,19-Jul-1967,
Jacob Rabinow,Optical Character Reading,jacob-rabinow,"['2,933,246']",2005,"Jan. 8, 1910","Sept. 11, 1999"
Grote Reber,Radio Telescope,grote-reber,"['2,519,603']",2013,"Dec. 22, 1911","Dec. 20, 2002"
Louis Renault,Automobiles,louis-renault,"['660,924']",2007,"Feb. 15, 1877","Oct. 24, 1944"
Jesse Wilford Reno,Escalator,jesse-wilford-reno,"['470,918']",2007,"Jan. 1, 1861","Jan. 1, 1947"
Rebecca Richards-Kortum,Medical Devices for Low-Resource Settings,rebecca-richards-kortum,"['7,365,844']",2019,14-Apr-1964,
Ken Richardson,Fluconazole,ken-richardson,"['4,404,216']",2008,"Nov. 26, 1939",
Norbert Rillieux,Automated Sugar Refining,norbert-rillieux,"['4,879']",2004,"March 17, 1806","Oct. 8, 1894"
Robert Rines,High-Resolution Radar and Sonar,robert-rines,"['2,528,725', '2,711,440', '2,711,534']",1994,"Aug. 30, 1922","Nov. 1, 2009"
Dennis Ritchie,UNIX Operating System,dennis-ritchie,"['4,135,240']",2019,"Sept. 9, 1941","Oct. 12, 2011"
James Ritty,Mechanical Cash Register,james-ritty,"['221,360']",2011,"Oct. 29, 1836",29-Mar-2018
John Ritty,Mechanical Cash Register,john-ritty,"['221,360']",2011,"Jan. 1, 1834","Dec. 28, 1913"
Ronald Rivest,RSA Cryptography,ronald-rivest,"['4,405,829']",2018,6-May-1947,
John Roebling,Suspension Bridge,john-roebling,"['4,710']",2004,"June 12, 1806","July 22, 1869"
John Raphael Rogers,Matrix for Linotype Machine,john-raphael-rogers,"['837,127']",2007,"Dec. 11, 1856","Feb. 18, 1934"
Heinrich Rohrer,Scanning Tunneling Microscope,heinrich-rohrer,"['4,343,993']",1994,6-Jun-1933,16-May-2013
Lubomyr Romankiw,Magnetic Thin-Film Storage Head,lubomyr-romankiw,"['3,908,194']",2012,17-Apr-1931,
Harold A. Rosen,Geosynchronous Communications Satellite,harold-rosen,"['3,133,282']",2003,20-Mar-2026,"Jan. 30, 2017"
Edward J. Rosinski,Zeolite Catalyst for Catalytic Cracking,edward-j-rosinski,"['3,140,249']",1979,"Aug. 12, 1921",4-May-2000
Benjamin A. Rubin,Pronged Vaccinating Needle,benjamin-rubin,"['3,194,237']",1992,"Sept. 27, 1917",8-Mar-2010
Wallace Clement Sabine,Architectural Acoustics,wallace-clement-sabine,"['1,172,838']",2011,"June 13, 1868","Jan. 10, 1919"
Augustine Sackett,Drywall,augustine-sackett,"['520,123']",2017,"March 24, 1841",10-May-2014
Aran Safir,Iris Recognition System,aran-safir,"['4,641,349']",2013,29-Mar-2026,"Jan. 21, 2007"
Lewis Hastings Sarett,Synthetic Cortisone,lewis-hastings-sarett,"['2,462,133']",1980,"Dec. 22, 1917","Nov. 29, 1999"
Steven Sasson,Digital Camera,steven-sasson,"['4,131,919']",2011,4-Jul-1950,
Joseph Saxton,Measuring Instruments,joseph-saxton,"['44,460']",2006,"March 22, 1799","Oct. 26, 1873"
Arthur Leonard Schawlow,Laser,arthur-leonard-schawlow,"['2,929,922']",1996,5-May-2021,28-Apr-1999
Klaus K. Schmiegel,Prozac,klaus-k-schmiegel,"['4,314,081']",1999,28-Jun-1939,
Peter C. Schultz,Optical Fiber,peter-c-schultz,"['3,659,915', '3,711,262']",1993,"Dec. 3, 1942",
Edmund O. Schweitzer III,Digital Protective Relay,edmund-schweitzer,"['4,300,182']",2019,"Oct. 31, 1947",
Glenn T. Seaborg,Plutonium Isolation,glenn-t-seaborg,"['3,000,695']",2005,19-Apr-2012,"Feb. 25, 1999"
Charles D. Seeberger,Escalator,charles-d-seeberger,"['617,778']",2007,"Jan. 1, 1857","Sept. 12, 1931"
Robert J. Seiwald,Isothiocyanate Compounds for Antigen Identification,robert-j-seiwald,"['2,937,186']",1995,26-Mar-2025,
William Sellers,Improvement in Boring Mills,william-sellers,"['17,641']",2007,"Sept. 19, 1824","Jan. 24, 1905"
Waldo L. Semon,Polyvinyl Chloride (PVC),waldo-l-semon,"['1,929,453', '2,188,396']",1995,"Sept. 10, 1898",26-May-1999
Gerhard M. Sessler,Electret Microphone,gerhard-m-sessler,"['3,118,022']",1999,"Feb. 15, 1931",
Adi Shamir,RSA Cryptography,adi-shamir,"['4,405,829']",2018,6-Jul-1952,
Claude Shannon,Pulse Code Modulation,claude-shannon,"['2,801,281']",2004,30-Apr-2016,"Feb. 24, 2001"
Gary D. Sharp,Polarization-Control Technology,gary-d-sharp,"['5,751,384']",2015,"Sept. 25, 1962",
John C. Sheehan,Synthesis of Penicillin,john-c-sheehan,"['3,939,151']",1995,"Sept. 23, 1915",21-Mar-1992
Patsy O. Sherman,Scotchgard™ Textile Protector,patsy-o-sherman,"['3,574,791']",2001,"Sept. 15, 1930","Feb. 11, 2008"
Joseph C. Shivers Jr.,LYCRA® Fiber (Spandex),joseph-c-shivers-jr,"['3,023,192']",2018,"Nov. 29, 1920","Sept. 1, 2014"
William B. Shockley,Transistor,william-b-shockley,"['2,502,488', '2,524,035']",1974,"Feb. 13, 1910","Aug. 12, 1989"
Christopher Sholes,Typewriter,christopher-sholes,"['79,265']",2001,"Feb. 14, 1819","Feb. 17, 1890"
Frederick Ellsworth Sickels,Valve for Steam Engines,frederick-ellsworth-sickels,"['424,581']",2007,"Sept. 20, 1819","March 8, 1895"
Igor I. Sikorsky,Helicopter,igor-i-sikorsky,"['2,318,259', '2,318,260']",1987,"May 25, 1889","Oct. 26, 1972"
John H. Silliker,Microbiological Food Safety and Testing,john-h-silliker,"['2,876,108']",2016,20-Jun-2022,19-Mar-2015
Bernard Silver,First Optically Scanned Bar Code,bernard-silver,"['2,612,994']",2011,"Sept. 21, 1924","Aug. 28, 1963"
Spencer Silver,Post-it® Notes,spencer-silver,"['3,691,140']",2010,"Feb. 6, 1941",8-May-2021
Edward Sisler,"1-MCP for Fruit, Vegetable and Flower Freshness",edward-sisler,"['5,518,988']",2022,"Jan. 25, 1930","Feb. 12, 2016"
Samuel Slater,Spinning Machine,samuel-slater,missing,2007,"June 9, 1768","April 21, 1835"
Games Slayter,Fiberglass,games-slayter,"['2,133,236']",2006,"Dec. 9, 1896","Oct. 15, 1964"
H. Gene Slottow,Plasma Display,h-gene-slottow,"['3,559,190']",2013,1-May-2021,11-Mar-1989
Floyd Smith,Modern Parachute,floyd-smith,"['1,340,423', '1,462,456']",2022,"Oct. 17, 1884",18-Apr-1956
George E. Smith,Charge-Coupled Device,george-e-smith,"['3,858,232']",2006,10-May-1930,
Polly Smith,Sports Bra,polly-smith,"['4,174,717']",2022,"Nov. 10, 1949",
Samuel Smith,Scotchgard™ Textile Protector,samuel-smith,"['3,574,791']",2001,"Sept. 13, 1927","Jan. 6, 2005"
Lanny Smoot,Theatrical Technologies and Special Effects,lanny-smoot,"['7,273,280']",2024,"Dec. 13, 1955",
James Murray Spangler,Portable Electric Vacuum Cleaner,james-murray-spangler,"['889,823']",2006,"Nov. 20, 1848","Jan. 22, 1915"
William J. Sparks,Butyl Rubber,william-j-sparks,"['2,356,128']",2016,"Feb. 26, 1905","Oct. 23, 1976"
Percy L. Spencer,High-Efficiency Magnetron,percy-l-spencer,"['2,408,235']",1999,"July 19, 1894","Sept. 8, 1970"
Elmer Ambrose Sperry,Gyroscopic Compass,elmer-ambrose-sperry,"['1,242,065']",1991,"Oct. 12, 1860",16-Jun-1930
Frank J. Sprague,Electric Street Car,frank-j-sprague,"['321,149']",2006,"July 25, 1857","Oct. 25, 1934"
James Sprague,Thiazide Diuretics (Chlorothiazide),james-sprague,"['3,097,204']",2019,"Jan. 30, 2000",
Rangaswamy Srinivasan,Excimer Laser Surgery,rangaswamy-srinivasan,"['4,784,135']",2002,"Feb. 28, 1929",
"William Stanley, Jr.",Induction Coil,william-stanley,"['349,611']",1995,"Nov. 28, 1858",14-May-2016
Gary K. Starkweather,Laser Printer,gary-k-starkweather,"['3,970,359']",2012,"Jan. 9, 1938","Dec. 26, 2019"
Charles Proteus Steinmetz,Alternating Current,charles-proteus-steinmetz,"['533,244']",1977,"April 9, 1865","Oct. 26, 1923"
Leo H. Sternbach,Benzodiazepines,leo-h-sternbach,"['3,371,085']",2005,7-May-2008,"Sept. 28, 2005"
John Stevens,Steam-Powered Transportation,john-stevens,missing,2006,"Jan. 1, 1749","March 6, 1838"
Louis Stevens,Data Storage Machine,louis-stevens,"['3,134,097']",2008,15-Apr-2025,"Oct. 17, 2009"
George R. Stibitz,Digital Computer,george-r-stibitz,"['2,668,661']",1983,30-Apr-2004,"Jan. 31, 1995"
Alice Stoll,Fire-Resistant Fibers and Fabrics,alice-stoll,"['3,148,531']",2024,"Aug. 25, 1917",5-Mar-2014
S. Donald Stookey,Glass Ceramics,s-donald-stookey,"['2,920,971']",2010,23-May-2015,"Nov. 4, 2014"
Harriet W. R. Strong,Water Storage and Flood Control,harriet-w-r-strong,"['374,378']",2016,"July 23, 1844","Sept. 6, 1926"
Herbert M. Strong,Diamond Synthesis,herbert-m-strong,"['2,947,610']",2010,"Sept. 30, 1908","Jan. 30, 2002"
Almon Brown Strowger,Automatic Telephone-Dialing System,almon-brown-strowger,"['447,918']",2006,"Oct. 19, 1839",26-May-2002
Eugene Sullivan,PYREX® Brand Cookware,eugene-sullivan,"['1,304,622']",2011,"Jan. 23, 1872",12-May-1962
Gideon Sundback,Modern Zipper,gideon-sundback,"['1,219,881']",2006,"April 24, 1880",21-Jun-1954
Ivan E. Sutherland,Display Windowing by Clipping,ivan-e-sutherland,"['3,639,736']",2016,16-May-1938,
Ambrose Swasey,Telescope,ambrose-swasey,"['959,179']",2006,"Dec. 19, 1846",15-Jun-1937
Leo Szilard,Nuclear Fission,leo-szilard,"['2,708,656']",1996,"Feb. 11, 1898",30-May-1964
Donalee L. Tabern,Pentothal / Anesthesia,donalee-l-tabern,"['2,153,729']",1986,"Jan. 25, 1900","Dec. 31, 1974"
Charles Sumner Tainter,Sound-Recording Instruments,charles-sumner-tainter,"['341,288']",2006,"April 25, 1854",20-Apr-1940
Jokichi Takamine,Adrenaline (Adrenalin®),jokichi-takamine,"['730,176']",2024,"Nov. 3, 1854",22-Jul-2022
Esther Sans Takeuchi,Lithium/Silver Vanadium Oxide (Li/SVO) Battery Technology in Implantable Cardioverter Defibrillators (ICDs),esther-sans-takeuchi,"['5,389,472', '6,221,534']",2011,"Sept. 8, 1953",
Pushkar Tandon,Bend-Insensitive Optical Fiber,pushkar-tandon,"['7,450,806', '7,903,917', '8,385,701']",2022,"Dec. 23, 1967",
Ching Wan Tang,Organic Light-Emitting Diode (OLED),ching-wan-tang,"['4,356,429']",2018,23-Jul-1947,
Welton I. Taylor,Microbiological Food Safety and Testing,welton-i-taylor,"['4,010,078']",2016,"Nov. 12, 1919","Nov. 1, 2012"
Gordon Teal,Silicon Transistor,gordon-teal,"['2,703,296']",2009,"Jan. 10, 1907","Jan. 7, 2003"
Ralph Teetor,Cruise Control,ralph-teetor,"['2,519,859']",2024,"Aug. 17, 1890","Feb. 15, 1982"
Maria Telkes,Solar Thermal Storage Systems,maria-telkes,"['3,986,969']",2012,"Dec. 12, 1900","Dec. 2, 1995"
Paul Terasaki,Tissue Typing for Organ Transplants; Terasaki Tray,paul-terasaki,"['4,599,315']",2018,"Sept. 10, 1929","Jan. 25, 2016"
Eli Terry,Clock,eli-terry,missing,2007,"April 13, 1772","Feb. 24, 1852"
Nikola Tesla,Electro-Magnetic Motor,nikola-tesla,"['381,968']",1975,"July 10, 1856","Jan. 7, 1943"
John H. Thomas,Fiberglass,john-h-thomas,"['2,121,802', '2,133,236']",2006,"Sept. 19, 1907","Sept. 17, 1991"
Robert M. Thomas,Butyl Rubber,robert-m-thomas,"['2,356,128']",2016,21-Jun-2008,23-Jul-1984
David A. Thompson,Magnetic Thin-Film Storage Head,david-thompson,"['4,295,173']",2012,"Dec. 17, 1940",
Ken Thompson,UNIX Operating System,ken-thompson,"['3,568,156']",2019,"Feb. 4, 1943",
Elihu Thomson,Electric Arc Lamp,elihu-thomson,"['258,684']",2006,"March 29, 1853",13-Mar-1937
Louis Comfort Tiffany,"Glass Tile, Mosaic",louis-comfort-tiffany,"['237,416']",2007,"Feb. 18, 1848","Jan. 17, 1933"
Henry Timken,Tapered Roller Bearings,henry-timken,"['606,635', '606,636']",1998,"Aug. 16, 1831",16-Mar-2009
Max Tishler,Synthesis of Vitamin B2 and Sulfaquinoxaline (Antibiotic),max-tishler,"['2,261,608', '2,404,199']",1982,"Oct. 30, 1906",18-Mar-1989
Charles Hard Townes,Maser,charles-hard-townes,"['2,879,439', '2,929,922']",1976,28-Jul-2015,"Jan. 27, 2015"
James Truchard,Virtual Instrumentation - LabVIEW™,james-truchard,"['4,901,221']",2019,25-Jun-1943,
Roger Tsien,Green Fluorescent Protein (GFP) Variants,roger-tsien,"['5,625,048']",2023,"Feb. 1, 1952","Aug. 24, 2016"
Charles W. Tyson,Fluid Catalytic Cracking,charles-w-tyson,"['2,451,804']",1999,"Jan. 1, 1900","Jan. 1, 1977"
William E. Upjohn,Dissolvable Pills,william-e-upjohn,"['312,041']",2006,"June 5, 1853","Oct. 18, 1932"
Theophilus Van Kannel,Revolving Door,theophilus-van-kannel,"['641,563']",2007,"Jan. 1, 1841","Dec. 24, 1919"
Steven Van Slyke,Organic Light-Emitting Diode (OLED),steven-van-slyke,"['4,539,507']",2018,19-Jul-1956,
Andrew J. Viterbi,CDMA Technology,andrew-j-viterbi,"['5,103,459']",2013,9-Mar-1935,
Ernest H. Volwiler,Pentothal / Anesthesia,ernest-h-volwiler,"['2,153,729']",1986,"Aug. 22, 1893","Oct. 3, 1992"
Luis von Ahn,reCAPTCHA,luis-von-ahn,"['8,555,353']",2023,"Aug. 19, 1978",
Theodore von Karman,Aerodynamic Structure for Planes and Wings,theodore-von-karman,"['1,962,794']",2003,"May 11, 1881",6-May-1963
Hans J.P. von Ohain,Turbojet Engine,hans-jp-von-ohain,"['2,911,189']",2003,"Dec. 14, 1911",13-Mar-1998
Carl Auer von Welsbach,Incandescent Device,carl-auer-von-welsbach,"['399,174']",2011,"Sept. 1, 1858","Aug. 4, 1929"
Ferdinand von Zeppelin,Rigid Airship,ferdinand-von-zeppelin,"['621,195']",2006,"July 8, 1838",8-Mar-2017
Selman Waksman,Streptomycin,selman-waksman,"['2,443,485']",2005,"July 22, 1888","Aug. 16, 1973"
David Walt,Microwell Arrays,david-walt,"['6,023,540']",2019,"Feb. 11, 1953",
An Wang,Magnetic Core Memory,wang,"['2,708,722']",1988,"Feb. 7, 1920",24-Mar-1990
Frank Wanlass,Complementary Metal Oxide Semiconductor (CMOS),frank-wanlass,"['3,356,858']",2009,17-May-1933,"Sept. 9, 2010"
William J. Warner,Digital Nonlinear Editing System,william-warner,"['4,970,663']",2019,19-Mar-1955,
Lewis Edson Waterman,Fountain Pen,lewis-edson-waterman,"['293,545']",2006,"Nov. 20, 1837",1-May-2001
Thomas A. Watson,Improvements to the Telephone,thomas-watson,"['199,007']",2011,"Jan. 18, 1854","Dec. 13, 1934"
Drew Weissman,Modified mRNA Technology Used in COVID-19 Vaccines,drew-weissman,"['8,278,036']",2023,"Sept. 7, 1959",
"Robert Wentorf, Jr.",Diamond Synthesis,robert-wentorf,"['2,947,610']",2010,28-May-2026,3-Apr-1997
James E. West,Electret Microphone,james-e-west,"['3,118,022']",1999,"Feb. 10, 1931",
"George Westinghouse, Jr.",Air Brake System,george-westinghouse,['RE5504'],1989,"Oct. 6, 1846",12-Mar-2014
Edward Weston,Portable Voltmeter,edward-weston,"['392,287']",2006,"May 9, 1850","Aug. 20, 1936"
Squire Whipple,Iron Truss Bridge,squire-whipple,"['2,064']",2007,"Sept. 16, 1804","March 15, 1888"
Richard Whitcomb,Supercritical Wing,richard-whitcomb,"['3,952,971']",2003,"Feb. 21, 1921","Oct. 13, 2009"
Rollin Henry White,Steam Generator; Controlled Differential,rollin-henry-white,"['659,837', '1,253,319']",2011,"July 11, 1872","Sept. 10, 1962"
Willis Whitfield,Clean Room,willis-whitfield,"['3,158,457']",2014,"Dec. 6, 1919","Nov. 12, 2012"
Eli Whitney,Cotton Gin,eli-whitney,missing,1974,"Dec. 8, 1765","Jan. 8, 1825"
Frank Whittle,Jet Engine,frank-whittle,"['2,404,334']",2003,1-Jun-2007,"Aug. 8, 1996"
Otto Wichterle,Soft Contact Lens,otto-wichterle,"['3,220,960']",2007,"Oct. 27, 1913","Aug. 18, 1998"
Robert Widlar,Linear Integrated Circuits,robert-widlar,"['3,364,434']",2009,"Nov. 30, 1937","Feb. 27, 1991"
"Stephen Wilcox, Jr.",Improvement in Steam Generators,stephen-wilcox,"['65,042']",1997,"Feb. 12, 1830","Nov. 27, 1893"
Robert R. Williams,Vitamin Synthesis,robert-r-williams,"['2,049,988']",1991,"Feb. 16, 1886","Oct. 2, 1965"
Sam B. Williams,Small Fan-Jet Engine,sam-b-williams,"['3,357,176']",2003,7-May-2021,22-Jun-2009
Robert H. Willson,Plasma Display,robert-h-willson,"['3,559,190']",2013,"Nov. 14, 1936",
Field Winslow,Polymer Cable Sheath,field-winslow,"['2,967,845']",2010,10-Jun-2016,"Dec. 16, 2009"
Alexander Winton,"Automobile, Bicycle, and Diesel Applications",alexander-winton,"['582,108']",2006,"June 20, 1860",21-Jun-1932
N. Joseph Woodland,First Optically Scanned Bar Code,n-joseph-woodland,"['2,612,994']",2011,"Sept. 6, 1921","Dec. 9, 2012"
Granville Woods,Railway Telegraphy,granville-woods,"['373,383']",2006,"April 23, 1856","Jan. 30, 1910"
Steve Wozniak,Personal Computer,steve-wozniak,"['4,136,359']",2000,"Aug. 11, 1950",
Orville Wright,Airplane,orville-wright,"['821,393']",1975,"Aug. 19, 1871","Jan. 30, 1948"
Wilbur Wright,Airplane,wilbur-wright,"['821,393']",1975,"April 16, 1867",30-May-2012
Margaret Wu,Synthetic Lubricants,margaret-wu,"['4,827,064', '4,827,073']",2022,28-Jun-1950,
Peter Wurman,Mobile Robotic Material Handling for Order Fulfillment,peter-wurman,"['8,649,899']",2022,24-Jul-1965,
James J. Wynne,Excimer Laser Surgery,james-j-wynne,"['4,784,135']",2002,19-Mar-1943,
"Linus Yale, Jr.",Door Lock,linus-yale,"['31,278']",2006,"April 4, 1821","Dec. 25, 1868"
Ioannis V. Yannas,Regenerated Skin,ioannis-v-yannas,"['4,418,691']",2015,14-Apr-1935,
Alejandro Zaffaroni,Bandage for Administering Drugs,alejandro-zaffaroni,"['3,598,122']",2012,"Feb. 27, 1923",1-Mar-2014
Frank J. Zamboni,Ice Rink Resurfacing Machine,frank-j-zamboni,"['2,642,679']",2007,"Jan. 16, 1901",27-Jul-1988
Xiaowei Zhuang,Stochastic Optical Reconstruction Microscopy (STORM),xiaowei-zhuang,"['7,776,613']",2024,"Jan. 21, 1972",
Vladimir Zworykin,Cathode-Ray Tube,vladimir-zworykin,"['2,139,296']",1977,"July 30, 1889",29-Jul-1982
Frank Zybach,Center-Pivot Irrigation,frank-zybach,"['2,604,359']",2022,"July 10, 1894","Aug. 19, 1980"
