name,invention,url_name,patent,induction_year,birth_date,death_date,meta1,meta2,meta3,meta4
Gordon Gould,Optically Pumped Laser Amplifiers,gordon-gould,"['4,053,845', '4,704,583']",1991,"July 17, 1920","Sept. 16, 2005","U.S. Patent Nos. 4,053,845; 4,704,583",Inducted in 1991,"BornJuly 17, 1920 - DiedSept. 16, 2005",
Zenobe Theophile Gramme,Direct-Current Dynamo,zenobe-theophile-gramme,"['120,057']",2006,"April 4, 1826","Jan. 20, 1901","U.S. Patent No. 120,057",Inducted in 2006,"BornApril 4, 1826 - DiedJan. 20, 1901",
Elisha Gray,Telegraphic Instruments,elisha-gray,"['461,470']",2007,"Aug. 2, 1835","Jan. 21, 1901","U.S. Patent No. 461,470",Inducted in 2007,"BornAug. 2, 1835 - DiedJan. 21, 1901",
Wilson Greatbatch,Implantable Pacemaker,wilson-greatbatch,"['3,057,356']",1986,"Sept. 6, 1919","Sept. 27, 2011","U.S. Patent No. 3,057,356",Inducted in 1986,"BornSept. 6, 1919 - DiedSept. 27, 2011",Military Service: U.S. Navy
Leonard Michael Greene,Aircraft Stall Warning Device,leonard-michael-greene,"['2,478,967']",1991,"June 8, 1918","Nov. 30, 2006","U.S. Patent No. 2,478,967",Inducted in 1991,"BornJune 8, 1918 - DiedNov. 30, 2006",
Leroy Grumman,Retractable Landing Gear; Folding Wing,leroy-grumman,"['1,859,624']",2003,"Jan. 4, 1895","Oct. 4, 1982","U.S. Patent No. 1,859,624",Inducted in 2003,"BornJan. 4, 1895 - DiedOct. 4, 1982",Military Service: U.S. Navy
Robert Gundlach,Modern Photocopier,robert-gundlach,"['2,812,709']",2005,"Sept. 7, 1926","Aug. 18, 2010","U.S. Patent No. 2,812,709",Inducted in 2005,"BornSept. 7, 1926 - DiedAug. 18, 2010",
Jaap C. Haartsen,Bluetooth® Wireless Technology,jaap-c-haartsen,"['6,590,928']",2015,"Feb. 13, 1963",,"U.S. Patent No. 6,590,928",Inducted in 2015,"BornFeb. 13, 1963",
Fritz Haber,Production of Ammonia,fritz-haber,"['971,501']",2006,"Dec. 9, 1868","Jan. 29, 1934","U.S. Patent No. 971,501",Inducted in 2006,"BornDec. 9, 1868 - DiedJan. 29, 1934",
Charles Martin Hall,Manufacture of Aluminum,charles-martin-hall,"['400,665']",1976,"Dec. 6, 1863","Dec. 27, 1914","U.S. Patent No. 400,665",Inducted in 1976,"BornDec. 6, 1863 - DiedDec. 27, 1914",
H. Tracy Hall,Diamond Synthesis,h-tracy-hall,"['2,947,610']",2010,"Oct. 20, 1919","July 25, 2008","U.S. Patent No. 2,947,610",Inducted in 2010,"BornOct. 20, 1919 - DiedJuly 25, 2008",Military Service: U.S. Navy
Lloyd Augustus Hall,Food Preservatives,lloyd-augustus-hall,"['2,107,697']",2004,"June 20, 1894","Jan. 2, 1971","U.S. Patent No. 2,107,697",Inducted in 2004,"BornJune 20, 1894 - DiedJan. 2, 1971",
Robert N. Hall,Semiconductor Laser,robert-n-hall,"['2,994,018']",1994,"Dec. 25, 1919","Nov. 7, 2016","U.S. Patent No. 2,994,018",Inducted in 1994,"BornDec. 25, 1919 - DiedNov. 7, 2016",
Thomas Seavey Hall,Improvement in Electrical Signals,thomas-seavey-hall,"['89,308']",2007,"April 1, 1827","Dec. 1, 1880","U.S. Patent No. 89,308",Inducted in 2007,"BornApril 1, 1827 - DiedDec. 1, 1880",
Andrew Smith Hallidie,Cable Car,andrew-smith-hallidie,"['100,140']",2006,"March 16, 1836","April 24, 1900","U.S. Patent No. 100,140",Inducted in 2006,"BornMarch 16, 1836 - DiedApril 24, 1900",
Francis Hamilton,Automatic Sequence Controlled Calculator (Mark I),francis-hamilton,"['2,616,626']",2014,"May 31, 1898","March 27, 1972","U.S. Patent No. 2,616,626",Inducted in 2014,"BornMay 31, 1898 - DiedMarch 27, 1972",
"John Hays Hammond, Jr.",Radio Control,john-hays-hammond,"['1,295,741']",2011,"April 13, 1888","Feb. 12, 1965","U.S. Patent No. 1,295,741",Inducted in 2011,"BornApril 13, 1888 - Died12 1965",
William Edward Hanford,Polyurethane,william-edward-hanford,"['2,284,896']",1991,"Dec. 9, 1908","Jan. 27, 1996","U.S. Patent No. 2,284,896",Inducted in 1991,"BornDec. 9, 1908 - DiedJan. 27, 1996",
Eli Harari,Floating Gate EEPROM,eli-harari,"['4,115,914', '5,297,148']",2017,"June 10, 1945",,"U.S. Patent Nos. 4,115,914; 5,297,148",Inducted in 2017,"BornJune 10, 1945",
W. Lincoln Hawkins,Polymer Cable Sheath,w-lincoln-hawkins,"['2,967,845']",2010,"March 21, 1911","Aug. 20, 1992","U.S. Patent No. 2,967,845",Inducted in 2010,"BornMarch 21, 1911 - DiedAug. 20, 1992",
Elizabeth Lee Hazen,Nystatin (Antifungal / Antibiotic),elizabeth-lee-hazen,"['2,797,183']",1994,"Aug. 24, 1885","June 24, 1975","U.S. Patent No. 2,797,183",Inducted in 1994,"BornAug. 24, 1885 - DiedJune 24, 1975",
Howard Head,Laminate Ski; Oversized Tennis Racket,howard-head,"['2,694,580', '3,999,756']",2017,"July 31, 1914","March 3, 1991","U.S. Patent Nos. 2,694,580; 3,999,756",Inducted in 2017,"BornJuly 31, 1914 - DiedMarch 3, 1991",
M. Stephen Heilman,Implantable Heart Defibrillator,m-stephen-heilman,"['4,202,340']",2002,"Dec. 25, 1933",,"U.S. Patent No. 4,202,340",Inducted in 2002,"BornDec. 25, 1933",Military Service: U.S. Air Force
George Heilmeier,Electro-Optic Liquid Crystal Device,george-heilmeier,"['3,499,112']",2009,"May 22, 1936","April 21, 2014","U.S. Patent No. 3,499,112",Inducted in 2009,"BornMay 22, 1936 - DiedApril 21, 2014",
Martin Hellman,Public-Key Cryptography,martin-hellman,"['4,200,770']",2011,"Oct. 2, 1945",,"U.S. Patent No. 4,200,770",Inducted in 2011,"BornOct. 2, 1945",
Francois Hennebique,Reinforced-Concrete Construction,francois-hennebique,"['611,907']",2011,"April 26, 1842","March 7, 1921","U.S. Patent No. 611,907",Inducted in 2011,"BornApril 26, 1842 - DiedMarch 7, 1921",
Beulah Louise Henry,Various Inventions for Daily Use,beulah-louise-henry,"['1,037,762']",2006,"Sept. 28, 1887","Feb. 1, 1973","U.S. Patent No. 1,037,762",Inducted in 2006,"BornSept. 28, 1887 - DiedFeb. 1, 1973",
Harald Hess,Photoactivated Localization Microscopy (PALM),harald-hess,"['7,535,012']",2024,"Sept. 12, 1955",,"U.S. Patent No. 7,535,012",Inducted in 2024,"BornSept. 12, 1955",
Peter Cooper Hewitt,Mercury-Vapor Lamp,peter-cooper-hewitt,"['1,030,178']",2011,"March 5, 1861","Aug. 25, 1921","U.S. Patent No. 1,030,178",Inducted in 2011,"BornMarch 5, 1861 - DiedAug. 25, 1921",
William R. Hewlett,Audio Oscillator,william-r-hewlett,"['2,268,872']",1992,"May 20, 1913","Jan. 12, 2001","U.S. Patent No. 2,268,872",Inducted in 1992,"BornMay 20, 1913 - DiedJan. 12, 2001",Military Service: U.S. Army
Beatrice Hicks,Device for Sensing Gas Density,beatrice-hicks,"['3,046,369']",2017,"Jan. 2, 1919","Oct. 21, 1979","U.S. Patent No. 3,046,369",Inducted in 2017,"BornJan. 2, 1919 - DiedOct. 21, 1979",
Andrew Higgins,"LCVP (Landing Craft, Vehicle, Personnel); Higgins Boats",andrew-higgins,"['2,144,111', '2,341,866']",2019,"Aug. 28, 1886","Aug. 1, 1952","U.S. Patent Nos. 2,144,111; 2,341,866",Inducted in 2019,"BornAug. 28, 1886 - DiedAug. 1, 1952",
Rene Alphonse Higonnet,Photo Composing Machine,rene-alphonse-higonnet,"['2,790,362']",1985,"April 5, 1902","Oct. 13, 1983","U.S. Patent No. 2,790,362",Inducted in 1985,"BornApril 5, 1902 - DiedOct. 13, 1983",
Maurice Ralph Hilleman,Vaccines,maurice-ralph-hilleman,"['3,555,149', '4,459,286']",2007,"Aug. 30, 1919","April 11, 2005","U.S. Patent Nos. 3,555,149; 4,459,286",Inducted in 2007,"BornAug. 30, 1919 - DiedApril 11, 2005",
James  Hillier,Electron Microscope Lens Correction Device,james-hillier,"['2,455,676']",1980,"Aug. 22, 1915","Jan. 15, 2007","U.S. Patent No. 2,455,676",Inducted in 1980,"BornAug. 22, 1915 - DiedJan. 15, 2007",
Richard Hoe,Double-Cylinder Printing Press,richard-hoe,"['2,629']",2006,"Sept. 12, 1812","June 7, 1886","U.S. Patent No. 2,629",Inducted in 2006,"BornSept. 12, 1812 - DiedJune 7, 1886",
Jean A. Hoerni,Method of Manufacturing Semiconductor Devices,jean-hoerni,"['3,025,589']",2009,"Sept. 26, 1924","Jan. 12, 1997","U.S. Patent No. 3,025,589",Inducted in 2009,"BornSept. 26, 1924 - DiedJan. 12, 1997",
Marcian E. (Ted) Hoff,Microprocessor,marcian-e-ted-hoff,"['3,821,715']",1996,"Oct. 28, 1937",,"U.S. Patent No. 3,821,715",Inducted in 1996,"BornOct. 28, 1937",
Felix Hoffmann,Aspirin,felix-hoffmann,"['644,077']",2002,"Jan. 21, 1868","Feb. 8, 1946","U.S. Patent No. 644,077",Inducted in 2002,"BornJan. 21, 1868 - DiedFeb. 8, 1946",
J. Paul Hogan,High-Density Polyethylene and Polypropylene Plastics,j-paul-hogan,"['2,825,721']",2001,"Aug. 7, 1919","Feb. 19, 2012","U.S. Patent No. 2,825,721",Inducted in 2001,"BornAug. 7, 1919 - DiedFeb. 19, 2012",
John Phillip Holland,Submarine,john-phillip-holland,"['472,670']",2007,"Feb. 29, 1840","Aug. 12, 1914","U.S. Patent No. 472,670",Inducted in 2007,"BornFeb. 29, 1840 - DiedAug. 12, 1914",
Herman Hollerith,Punch Card Tabulator,herman-hollerith,"['395,781', '395,782', '395,783']",1990,"Feb. 29, 1860","Nov. 17, 1929","U.S. Patent Nos. 395,781; 395,782; 395,783",Inducted in 1990,"BornFeb. 29, 1860 - DiedNov. 17, 1929",
Alexander L. Holley,Steelmaking Process in America,alexander-l-holley,"['86,303']",2006,"July 20, 1832","Jan. 29, 1882","U.S. Patent No. 86,303",Inducted in 2006,"BornJuly 20, 1832 - DiedJan. 29, 1882",
"Birdsill Holly, Jr.",Modern-Day Fire Hydrant,birdsill-holly,"['94,746']",2006,"Nov. 8, 1820","April 27, 1894","U.S. Patent No. 94,746",Inducted in 2006,"BornNov. 8, 1820 - DiedApril 27, 1894",
Donald Fletcher Holmes,Polyurethane,donald-fletcher-holmes,"['2,284,896']",1991,"Sept. 29, 1910","Oct. 13, 1980","U.S. Patent No. 2,284,896",Inducted in 1991,"BornSept. 29, 1910 - DiedOct. 13, 1980",
"Nick Holonyak, Jr.",LED,nick-holonyak,"['3,249,473']",2008,"Nov. 3, 1928","Sept. 18, 2022","U.S. Patent No. 3,249,473",Inducted in 2008,"BornNov. 3, 1928 - DiedSept. 18, 2022",Military Service: U.S. Army
Benjamin Holt,Track-Type Tractor,benjamin-holt,"['874,008']",2006,"Jan. 1, 1849","Dec. 5, 1920","U.S. Patent No. 874,008",Inducted in 2006,"BornJan. 1, 1849 - DiedDec. 5, 1920",
Stan Honey,Sports Broadcast Graphic Enhancements,stan-honey,"['6,141,060']",2018,"April 8, 1955",,"U.S. Patent No. 6,141,060",Inducted in 2018,"BornApril 8, 1955",
Leroy Edward Hood,DNA Sequencer,leroy-edward-hood,"['5,171,534']",2007,"Oct. 10, 1938",,"U.S. Patent No. 5,171,534",Inducted in 2007,"BornOct. 10, 1938",
Erna Schneider Hoover,Computerized Telephone Switching,erna-schneider-hoover,"['3,623,007']",2008,"June 19, 1926",,"U.S. Patent No. 3,623,007",Inducted in 2008,"BornJune 19, 1926",
Philippe Horvath,CRISPR-enhanced Food Products,philippe-horvath,"['9,879,269', '9,951,342']",2023,"April 17, 1970",,"U.S. Patent Nos. 9,879,269; 9,951,342",Inducted in 2023,"BornApril 17, 1970",
Larry Hornbeck,Digital Micromirror Device,larry-hornbeck,"['5,061,049']",2009,"Sept. 17, 1943",,"U.S. Patent No. 5,061,049",Inducted in 2009,"BornSept. 17, 1943",
Eugene Houdry,Catalytic Cracking,eugene-houdry,"['1,837,963']",1990,"April 18, 1892","July 18, 1962","U.S. Patent No. 1,837,963",Inducted in 1990,"BornApril 18, 1892 - DiedJuly 18, 1962",
Godfrey Newbold Hounsfield,CT Scan,godfrey-newbold-hounsfield,"['3,965,357']",2007,"Aug. 28, 1919","Aug. 12, 2004","U.S. Patent No. 3,965,357",Inducted in 2007,"BornAug. 28, 1919 - DiedAug. 12, 2004",Military Service: Royal Air Force
Elias Howe,Sewing Machine,elias-howe,"['4,750']",2004,"July 9, 1819","Oct. 3, 1867","U.S. Patent No. 4,750",Inducted in 2004,"BornJuly 9, 1819 - DiedOct. 3, 1867",Military Service: U.S. Army
George Hulett,Loading and Unloading Machine,george-hulett,"['652,313']",2006,"Sept. 26, 1846","Jan. 17, 1923","U.S. Patent No. 652,313",Inducted in 2006,"BornSept. 26, 1846 - DiedJan. 17, 1923",
Charles Hull,Stereolithography (3-D Printing),charles-hull,"['4,575,330']",2014,"May 12, 1939",,"U.S. Patent No. 4,575,330",Inducted in 2014,"BornMay 12, 1939",
Walter Hunt,Safety Pin,walter-hunt,"['6,281']",2006,"July 29, 1796","June 8, 1859","U.S. Patent No. 6,281",Inducted in 2006,"BornJuly 29, 1796 - DiedJune 8, 1859",
John Wesley Hyatt,Celluloid,john-wesley-hyatt,"['88,633']",2006,"Nov. 28, 1837","May 10, 1920","U.S. Patent No. 88,633",Inducted in 2006,"BornNov. 28, 1837 - DiedMay 10, 1920",
J. Franklin Hyde,Transparent Silica,j-franklin-hyde,"['2,272,342']",2000,"March 11, 1903","Oct. 11, 1999","U.S. Patent No. 2,272,342",Inducted in 2000,"BornMarch 11, 1903 - DiedOct. 11, 1999",
Simon Ingersoll,Steam-Powered Rock Drill,simon-ingersoll,"['112,254']",2006,"March 3, 1818","July 24, 1894","U.S. Patent No. 112,254",Inducted in 2006,"BornMarch 3, 1818 - DiedJuly 24, 1894",
Frederic Eugene Ives,Color Photography,frederic-eugene-ives,"['1,145,143']",2011,"Feb. 17, 1856","May 27, 1937","U.S. Patent No. 1,145,143",Inducted in 2011,"BornFeb. 17, 1856 - DiedMay 27, 1937",
Irwin Mark Jacobs,CDMA Technology,irwin-mark-jacobs,"['4,901,307']",2013,"Oct. 18, 1933",,"U.S. Patent No. 4,901,307",Inducted in 2013,"BornOct. 18, 1933",
Joseph M. Jacobson,Electronic Ink,joseph-m-jacobson,"['6,124,851']",2016,"June 28, 1965",,"U.S. Patent No. 6,124,851",Inducted in 2016,"BornJune 28, 1965",
Ali Javan,Helium-Neon Laser,ali-javan,"['3,149,290']",2006,"Dec. 26, 1926","Sept. 12, 2016","U.S. Patent No. 3,149,290",Inducted in 2006,"BornDec. 26, 1926 - DiedSept. 12, 2016",
Allene Jeanes,Dextran Production; Xanthan Gum,allene-jeanes,"['2,587,623', '3,000,790']",2017,"July 19, 1906","Dec. 11, 1995","U.S. Patent Nos. 2,587,623; 3,000,790",Inducted in 2017,"BornJuly 19, 1906 - DiedDec. 11, 1995",
Alec Jeffreys,Genetic Fingerprinting,alec-jeffreys,"['5,413,908']",2005,"Jan. 9, 1950",,"U.S. Patent No. 5,413,908",Inducted in 2005,"BornJan. 9, 1950",
Charles Jenkins,Motion Picture Projector,charles-jenkins,"['671,111']",2011,"Aug. 22, 1867","June 6, 1934","U.S. Patent No. 671,111",Inducted in 2011,"BornAug. 22, 1867 - DiedJune 6, 1934",
Thomas Jennings,Dry Scouring,thomas-jennings,['3306x'],2015,"Jan. 1, 1791","Feb. 11, 1859",U.S. Patent No. 3306x,Inducted in 2015,"BornJan. 1, 1791 - DiedFeb. 11, 1859",
Steve Jobs,iPod User Interface®,steve-jobs,"['7,166,791']",2012,"Feb. 24, 1955","Oct. 5, 2011","U.S. Patent No. 7,166,791",Inducted in 2012,"BornFeb. 24, 1955 - DiedOct. 5, 2011",
"Amos Joel, Jr.",Mobile Communication System,amos-joel,"['3,663,762']",2008,"March 12, 1918","Oct. 25, 2008","U.S. Patent No. 3,663,762",Inducted in 2008,"BornMarch 12, 1918 - DiedOct. 25, 2008",
Clarence Johnson,Afterburning Means for Turbo-Jet Engines,clarence-johnson,"['2,771,740']",2008,"Feb. 27, 1910","Dec. 21, 1990","U.S. Patent No. 2,771,740",Inducted in 2008,"BornFeb. 27, 1910 - DiedDec. 21, 1990",
Kristina M. Johnson,Polarization-Control Technology,kristina-m-johnson,"['5,132,826']",2015,"May 7, 1957",,"U.S. Patent No. 5,132,826",Inducted in 2015,"BornMay 7, 1957",
Lonnie Johnson,Super Soaker®,lonnie-johnson,"['4,591,071']",2022,"Oct. 6, 1949",,"U.S. Patent No. 4,591,071",Inducted in 2022,"BornOct. 6, 1949",Military Service: U.S. Air Force
Warren S. Johnson,Temperature Control,warren-s-johnson,"['542,733', '281,884']",2018,"Nov. 6, 1847","Dec. 5, 1911","U.S. Patent Nos. 542,733; 281,884",Inducted in 2018,"BornNov. 6, 1847 - DiedDec. 5, 1911",
Frederick McKinley Jones,Mobile Refrigeration,frederick-mckinley-jones,"['2,303,857']",2007,"May 17, 1893","Feb. 21, 1961","U.S. Patent No. 2,303,857",Inducted in 2007,"BornMay 17, 1893 - DiedFeb. 21, 1961",Military Service: U.S. Army
"Howard S. Jones, Jr.",Conformal Antennas,howard-s-jones,"['4,010,470']",2018,"Aug. 18, 1921","Feb. 26, 2005","U.S. Patent No. 4,010,470",Inducted in 2018,"BornAug. 18, 1921 - DiedFeb. 26, 2005",Military Service: U.S. Army
Marshall Jones,Industrial Lasers,marshall-jones,"['4,676,586']",2017,"Aug. 1, 1941",,"U.S. Patent No. 4,676,586",Inducted in 2017,"BornAug. 1, 1941",
Kenneth C. Jordan,Radioisotopic Thermoelectric Generator (RTG),kenneth-c-jordan,"['2,913,510']",2013,"July 24, 1921","May 15, 2008","U.S. Patent No. 2,913,510",Inducted in 2013,"BornJuly 24, 1921 - DiedMay 15, 2008",Military Service: U.S. Army
Marjorie Stewart Joyner,Permanent Wave Machine,marjorie-stewart-joyner,"['1,693,515']",2023,"Oct. 24, 1896","Dec. 27, 1994","U.S. Patent No. 1,693,515",Inducted in 2023,"BornOct. 24, 1896 - DiedDec. 27, 1994",
Percy Lavon Julian,Preparation of Cortisone,percy-lavon-julian,"['2,752,339']",1990,"April 11, 1899","April 19, 1975","U.S. Patent No. 2,752,339",Inducted in 1990,"BornApril 11, 1899 - DiedApril 19, 1975",
Robert E. Kahn,Transmission Control Protocol / Internet Protocol,robert-e-kahn,"['6,574,628']",2006,"Dec. 23, 1938",,"U.S. Patent No. 6,574,628",Inducted in 2006,"BornDec. 23, 1938",
Dawon Kahng,MOSFET,dawon-kahng,"['3,102,230']",2009,"May 4, 1931","May 13, 1992","U.S. Patent No. 3,102,230",Inducted in 2009,"BornMay 4, 1931 - DiedMay 13, 1992",
Charles H. Kaman,Rotor Control Mechanism for Helicopter,charles-h-kaman,"['2,668,595']",2003,"June 15, 1919","Jan. 31, 2011","U.S. Patent No. 2,668,595",Inducted in 2003,"BornJune 15, 1919 - DiedJan. 31, 2011",
Dean Kamen,AutoSyringe® Ambulatory Infusion Pump,dean-kamen,"['3,858,581']",2005,"April 5, 1951",,"U.S. Patent No. 3,858,581",Inducted in 2005,"BornApril 5, 1951",
Sheldon Kaplan,EpiPen® Auto-Injector,sheldon-kaplan,"['4,031,893']",2016,"June 6, 1939","Sept. 21, 2009","U.S. Patent No. 4,031,893",Inducted in 2016,"BornJune 6, 1939 - DiedSept. 21, 2009",
Katalin Karikó,Modified mRNA Technology Used in COVID-19 Vaccines,katalin-kariko,"['8,278,036']",2023,"Jan. 17, 1955",,"U.S. Patent No. 8,278,036",Inducted in 2023,"BornJan. 17, 1955",
Donald B. Keck,Optical Fiber,donald-b-keck,"['3,659,915', '3,711,262']",1993,"Jan. 2, 1941",,"U.S. Patent Nos. 3,659,915; 3,711,262",Inducted in 1993,"BornJan. 2, 1941",
Cyril Keller,Bobcat® Skid-Steer Loader,cyril-keller,"['3,151,503']",2023,"April 8, 1922","Oct. 28, 2020","U.S. Patent No. 3,151,503",Inducted in 2023,"BornApril 8, 1922 - DiedOct. 28, 2020",Military Service: U.S. Navy
Louis Keller,Bobcat® Skid-Steer Loader,louis-keller,"['3,151,503']",2023,"May 9, 1923","July 11, 2010","U.S. Patent No. 3,151,503",Inducted in 2023,"BornMay 9, 1923 - DiedJuly 11, 2010",Military Service: U.S. Army
John H. Kellogg,Breakfast Cereal,john-h-kellogg,"['558,393']",2006,"Feb. 26, 1852","Dec. 14, 1943","U.S. Patent No. 558,393",Inducted in 2006,"BornFeb. 26, 1852 - DiedDec. 14, 1943",
Charles D. Kelman,Cataract Surgery,charles-d-kelman,"['3,589,363']",2004,"May 23, 1930","June 1, 2004","U.S. Patent No. 3,589,363",Inducted in 2004,"BornMay 23, 1930 - DiedJune 1, 2004",
Clarence Kemp,Passive Solar Water Heater,clarence-kemp,"['451,384']",2011,,,"U.S. Patent No. 451,384",Inducted in 2011,,
Charles Franklin Kettering,Electrical Ignition System,charles-franklin-kettering,"['1,150,523', '1,171,055']",1980,"Aug. 29, 1876","Nov. 25, 1958","U.S. Patent Nos. 1,150,523; 1,171,055",Inducted in 1980,"BornAug. 29, 1876 - DiedNov. 25, 1958",
Mary Dixon Kies,Process for Weaving Straw with Silk or Thread,mary-dixon-kies,missing,2006,"March 21, 1752","Jan. 1, 1837",Inducted in 2006,"BornMarch 21, 1752 - DiedJan. 1, 1837",,
Jack S. Kilby,Integrated Circuit,jack-s-kilby,"['3,138,743']",1982,"Nov. 8, 1923","June 20, 2005","U.S. Patent No. 3,138,743",Inducted in 1982,"BornNov. 8, 1923 - DiedJune 20, 2005",Military Service: U.S. Army
Albert Kingsbury,Thrust Bearing,albert-kingsbury,"['947,242']",2007,"Dec. 23, 1863","July 28, 1943","U.S. Patent No. 947,242",Inducted in 2007,"BornDec. 23, 1863 - DiedJuly 28, 1943",
Dale Kleist,Fiberglass,dale-kleist,"['2,121,802']",2006,"Jan. 17, 1909","May 4, 1998","U.S. Patent No. 2,121,802",Inducted in 2006,"BornJan. 17, 1909 - DiedMay 4, 1998",
David Klenerman,Sequencing-by-Synthesis (SBS),david-klenerman,"['7,297,486']",2024,"Sept. 9, 1959",,"U.S. Patent No. 7,297,486",Inducted in 2024,"BornSept. 9, 1959",
Margaret E. Knight,Machine for Making Flat-Bottom Paper Bags,margaret-e-knight,['RE9202'],2006,"Feb. 14, 1838","Oct. 12, 1914",U.S. Patent No. RE 9202,Inducted in 2006,"BornFeb. 14, 1838 - DiedOct. 12, 1914",
Jeff Kodosky,Virtual Instrumentation - LabVIEW™,jeff-kodosky,"['4,901,221']",2019,"Nov. 4, 1949",,"U.S. Patent No. 4,901,221",Inducted in 2019,"BornNov. 4, 1949",
Willem J. Kolff,Artificial Heart,willem-j-kolff,"['3,641,591']",1985,"Feb. 14, 1911","Feb. 11, 2009","U.S. Patent No. 3,641,591",Inducted in 1985,"BornFeb. 14, 1911 - DiedFeb. 11, 2009",
Paul Kollsman,Altimeter,paul-kollsman,"['2,036,581']",2003,"Feb. 22, 1900","Sept. 26, 1982","U.S. Patent No. 2,036,581",Inducted in 2003,"BornFeb. 22, 1900 - DiedSept. 26, 1982",
William J. Kroll,Titanium Production,william-j-kroll,"['2,205,854']",2000,"Nov. 24, 1889","March 30, 1973","U.S. Patent No. 2,205,854",Inducted in 2000,"BornNov. 24, 1889 - DiedMarch 30, 1973",
Raymond Kurzweil,Optical Character Recognition,raymond-kurzweil,"['6,199,042']",2002,"Feb. 12, 1948",,"U.S. Patent No. 6,199,042",Inducted in 2002,"BornFeb. 12, 1948",
Stephanie Louise Kwolek,Kevlar® Fiber,stephanie-louise-kwolek,"['3,819,587', 'RE30352']",1995,"July 31, 1923","June 18, 2014","U.S. Patent Nos. 3,819,587; RE30352",Inducted in 1995,"BornJuly 31, 1923 - DiedJune 18, 2014",
Irwin M. Lachman,Ceramic Substrate in Catalytic Converters,irwin-m-lachman,"['3,885,977']",2002,"Aug. 2, 1930",,"U.S. Patent No. 3,885,977",Inducted in 2002,"BornAug. 2, 1930",Military Service: U.S. Air Force
Clair Lake,Automatic Sequence Controlled Calculator (Mark I),clair-lake,"['2,616,626']",2014,"Jan. 1, 1888","Jan. 1, 1958","U.S. Patent No. 2,616,626",Inducted in 2014,"BornJan. 1, 1888 - DiedJan. 1, 1958",
Hedy Lamarr,Frequency Hopping Communication System,hedy-lamarr,"['2,292,387']",2014,"Nov. 9, 1914","Jan. 19, 2000","U.S. Patent No. 2,292,387",Inducted in 2014,"BornNov. 9, 1914 - DiedJan. 19, 2000",
Edwin Herbert Land,Instant One-Step Photography,edwin-herbert-land,"['2,543,181']",1977,"May 7, 1909","March 1, 1991","U.S. Patent No. 2,543,181",Inducted in 1977,"BornMay 7, 1909 - DiedMarch 1, 1991",
Alois A. Langer,Implantable Heart Defibrillator,alois-langer,"['4,202,340']",2002,"Feb. 24, 1945",,"U.S. Patent No. 4,202,340",Inducted in 2002,"BornFeb. 24, 1945",
"Robert S. Langer, Jr.",Controlled Drug Delivery,robert-s-langer,"['4,391,797', '4,757,128']",2006,"Aug. 29, 1948",,"U.S. Patent Nos. 4,391,797; 4,757,128",Inducted in 2006,"BornAug. 29, 1948",
Irving Langmuir,Incandescent Electric Lamp,irving-langmuir,"['1,180,159']",1989,"Jan. 31, 1881","Aug. 16, 1957","U.S. Patent No. 1,180,159",Inducted in 1989,"BornJan. 31, 1881 - DiedAug. 16, 1957",
Lorenzo L. Langstroth,Beehive,lorenzo-l-langstroth,"['9,300']",2007,"Dec. 25, 1810","Oct. 6, 1895","U.S. Patent No. 9,300",Inducted in 2007,"BornDec. 25, 1810 - DiedOct. 6, 1895",
Vincent L. Lanza,Polymer Cable Sheath,vincent-l-lanza,"['2,967,845']",2010,"March 26, 1922","June 18, 1972","U.S. Patent No. 2,967,845",Inducted in 2010,"BornMarch 26, 1922 - DiedJune 18, 1972",Military Service: U.S. Army
Lewis Latimer,Durable Carbon Filament for Electric Light Bulbs,lewis-latimer,"['252,386']",2006,"Sept. 4, 1848","Dec. 11, 1928","U.S. Patent No. 252,386",Inducted in 2006,"BornSept. 4, 1848 - DiedDec. 11, 1928",Military Service: U.S. Navy
Paul Christian Lauterbur,Magnetic Resonance Imaging,paul-christian-lauterbur,"['5,081,992']",2007,"May 6, 1929","March 27, 2007","U.S. Patent No. 5,081,992",Inducted in 2007,"BornMay 6, 1929 - DiedMarch 27, 2007",Military Service: U.S. Army
Ernest Orlando Lawrence,Cyclotron,ernest-orlando-lawrence,"['1,948,384']",1982,"Aug. 8, 1901","Aug. 27, 1958","U.S. Patent No. 1,948,384",Inducted in 1982,"BornAug. 8, 1901 - DiedAug. 27, 1958",
Victor B. Lawrence,Signal Processing in Telecommunications,victor-b-lawrence,"['4,034,197', '4,213,187']",2016,"May 10, 1945",,"U.S. Patent Nos. 4,034,197; 4,213,187",Inducted in 2016,"BornMay 10, 1945",
William P. Lear,Car Radio,william-p-lear,"['1,944,139']",1993,"June 26, 1902","May 14, 1978","U.S. Patent No. 1,944,139",Inducted in 1993,"BornJune 26, 1902 - DiedMay 14, 1978",Military Service: U.S. Navy
Joseph Lechleider,DSL - Digital Subscriber Line,joseph-lechleider,"['5,181,198']",2013,"Feb. 22, 1933","April 18, 2015","U.S. Patent No. 5,181,198",Inducted in 2013,"BornFeb. 22, 1933 - DiedApril 18, 2015",
Robert S. Ledley,CT Scan,robert-s-ledley,"['3,922,552']",1990,"June 28, 1926","July 24, 2012","U.S. Patent No. 3,922,552",Inducted in 1990,"BornJune 28, 1926 - DiedJuly 24, 2012",Military Service: U.S. Army
